mean 100 episode reward per step,time_elapsed,total timesteps,eplenmean,mean 100 episode reward,ep_rewmean,current_lr,fps,episodes,n_updates,ent_coef,ent_coef_loss,policy_loss,entropy,qf2_loss,value_loss,qf1_loss
-11.915369374145165,265,13600,83.81,-693.8,-693.8133561400001,0.0003,51,182,13500,0.017228412,-13.053591,176.56,2.62888,8.756766,0.0027779844,8.511778
-11.94861087779618,267,13700,82.94,-700.6,-700.5805174399998,0.0003,51,183,13600,0.016726784,-13.480545,177.81772,2.5721831,1399.7146,0.0027824843,1400.0027
-11.862513671622722,269,13800,83.66,-701.0,-700.98877614,0.0003,51,184,13700,0.016249707,-13.379963,179.1852,2.4552894,8.612207,0.0021489575,8.298561
-11.644060596892906,271,13900,84.75,-702.8,-702.77869083,0.0003,51,185,13800,0.015781157,-13.425922,180.40375,2.4969637,7.6348515,0.0010445147,7.370173
-11.617000715682073,273,14000,85.07,-704.5,-704.4602512199999,0.0003,51,186,13900,0.015334874,-12.5135975,181.86133,2.3763475,2738.7974,0.0046677906,2739.8726
-12.263436138018216,275,14100,81.86,-704.3,-704.2992893300001,0.0003,51,189,14000,0.014890317,-12.326941,182.85286,2.3969522,1360.9297,0.008621916,1360.4623
-12.58676899038199,277,14200,79.04,-703.2,-703.1563571700001,0.0003,51,192,14100,0.014457186,-13.705475,184.0477,2.590088,1359.4014,0.0025362712,1359.6396
-12.785957366573482,279,14300,78.76,-703.8,-703.8412048299999,0.0003,51,194,14200,0.014046717,-12.753677,185.2731,2.4588547,1344.7698,0.014100462,1344.2191
-12.716849587713746,281,14400,79.51,-704.4,-704.4326096599999,0.0003,51,195,14300,0.013646093,-13.648482,186.92331,2.549158,2673.3613,0.0031729313,2674.415
-12.85623484124784,283,14500,79.6,-703.9,-703.8622487599999,0.0003,51,197,14400,0.013245503,-14.261758,188.24094,2.6082864,9.054345,1.931638e-05,8.79108
-12.909591322415881,285,14600,79.49,-704.7,-704.7176248899999,0.0003,51,199,14500,0.012872616,-13.039566,190.05295,2.5904377,2635.5745,0.016701754,2636.6814
-13.073611898168442,287,14700,77.07,-705.5,-705.5217437899998,0.0003,51,201,14600,0.012506379,-13.7221775,191.164,2.5391777,2620.242,0.007988945,2621.2231
-13.073611898168442,289,14800,77.07,-705.5,-705.5217437899998,0.0003,51,201,14700,0.012147138,-14.364149,192.59824,2.5271559,9.744368,0.016479902,9.4095
-13.391803251304163,291,14900,75.94,-705.7,-705.6583912299998,0.0003,51,204,14800,0.011795988,-13.043289,193.96863,2.2258763,2576.8328,0.046985123,2576.5132
-13.557367485082562,293,15000,74.9,-705.9,-705.91332071,0.0003,51,206,14900,0.011472334,-14.418591,195.49998,2.434744,9.938656,0.026703507,9.46049
-13.55347718967309,295,15100,74.91,-705.7,-705.66210872,0.0003,51,207,15000,0.01113853,-13.757306,196.5901,2.467813,8.992277,0.021338165,8.634998
-13.497194512130356,296,15200,75.49,-707.4,-707.3851997200001,0.0003,51,208,15100,0.010810299,-14.623934,197.66437,2.5332866,2528.3162,0.041211005,2527.4229
-13.497194512130356,298,15300,75.49,-707.4,-707.3851997200001,0.0003,51,208,15200,0.010493015,-13.97087,198.77286,2.4060316,7.767146,0.0075701475,7.416321
-13.833376044847894,300,15400,74.19,-705.3,-705.3223219299999,0.0003,51,211,15300,0.01019029,-15.355909,199.88385,2.5196087,8.109417,0.026821934,7.4863834
