total timesteps,time_elapsed,eplenmean,n_updates,fps,ep_rewmean,current_lr,mean 100 episode reward per step,mean 100 episode reward,episodes,policy_loss,entropy,qf2_loss,qf1_loss,ent_coef_loss,value_loss,ent_coef
14700,370,117.77,14600,39,-638.3170831,0.0003,-11.202364916585477,-638.3,169,150.12964,1.8305275,169.79834,164.01472,1.4639039,7.0339165,0.068708345
14800,373,117.77,14700,39,-638.3170831,0.0003,-11.202364916585477,-638.3,169,149.69766,1.9889765,193.99744,194.00383,3.1222944,0.8792011,0.06860853
14900,375,120.1,14800,39,-641.97258375,0.0003,-11.13798910705241,-642.0,170,152.6908,1.7883899,777.80524,773.23126,-1.9976457,8.583203,0.06813422
15000,378,119.08,14900,39,-640.76742057,0.0003,-11.32261334034003,-640.8,172,151.21442,1.8451514,19.609829,29.486073,-0.52088,16.739483,0.067590475
15100,380,119.08,15000,39,-640.76742057,0.0003,-11.32261334034003,-640.8,172,153.89346,1.8164636,773.7036,776.23627,-1.5706532,24.04517,0.06981914
15200,383,119.08,15100,39,-640.76742057,0.0003,-11.32261334034003,-640.8,172,154.56934,1.8021419,9.451921,12.731965,-0.9498831,13.228455,0.0689115
15300,385,121.3,15200,39,-650.86550819,0.0003,-11.228367092032267,-650.9,173,153.67587,1.643724,20.070118,19.336147,-2.9904013,9.753115,0.06856854
15400,388,121.3,15300,39,-650.86550819,0.0003,-11.228367092032267,-650.9,173,156.17157,1.800568,68.44482,69.85102,-1.2296284,33.149178,0.06795063
15500,390,121.3,15400,39,-650.86550819,0.0003,-11.228367092032267,-650.9,173,152.57292,1.4957058,877.76654,873.8213,0.8080423,17.864136,0.06993704
15600,393,123.46,15500,39,-663.56980375,0.0003,-11.244080758069416,-663.6,175,153.42831,1.5531001,21.56733,31.438728,-1.226079,20.717999,0.07023771
15700,395,123.47,15600,39,-663.31930609,0.0003,-11.239170653245662,-663.3,176,152.73096,1.5863495,746.38324,736.4295,-0.84895635,6.792197,0.07066504
15800,398,124.9,15700,39,-666.1593976800001,0.0003,-10.865743401113775,-666.2,178,155.02866,1.5379803,1496.5952,1511.299,0.007118821,5.3919625,0.070148945
15900,400,124.9,15800,39,-666.1593976800001,0.0003,-10.865743401113775,-666.2,178,155.25679,1.535883,38.863922,37.199738,-1.1634803,8.042553,0.0691181
